CODE,FLOW,YEAR ,QUANTITY_TON
AUT,EXPORT,2015,839.30
EST,IMPORT,2010,261.90
EST,IMPORT,2011,265.90
EST,IMPORT,2012,285.30
EST,IMPORT,2013,565.90
EST,IMPORT,2014,751.70
EST,IMPORT,2015,1014.80
EST,EXPORT,2010,0.30
EST,EXPORT,2011,0.20
EST,EXPORT,2012,3.40
EST,EXPORT,2013,0.00
EST,EXPORT,2014,0.10
EST,EXPORT,2015,4.40
LVA,IMPORT,2010,2126.40
LVA,IMPORT,2011,2819.20
LVA,IMPORT,2012,3064.30
LVA,IMPORT,2013,3543.30
LVA,IMPORT,2014,3250.80
LVA,IMPORT,2015,2421.90
LVA,EXPORT,2010,440.30
LVA,EXPORT,2011,771.10
LVA,EXPORT,2012,654.60
LVA,EXPORT,2013,979.30
LVA,EXPORT,2014,1055.80
LVA,EXPORT,2015,824.30
LTU,IMPORT,2010,3884.40
LTU,IMPORT,2011,4613.30
LTU,IMPORT,2012,5684.50
LTU,IMPORT,2013,6502.60
LTU,IMPORT,2014,6037.40
LTU,IMPORT,2015,6396.60
LTU,EXPORT,2010,3181.00
LTU,EXPORT,2011,3857.80
LTU,EXPORT,2012,4593.90
LTU,EXPORT,2013,5210.30
LTU,EXPORT,2014,4047.10
LTU,EXPORT,2015,1440.90
POL,IMPORT,2010,2860.80
POL,IMPORT,2011,2874.50
POL,IMPORT,2012,3047.70
POL,IMPORT,2013,4752.30
POL,IMPORT,2014,7221.30
POL,IMPORT,2015,9269.90
POL,EXPORT,2010,273.30
POL,EXPORT,2011,521.40
POL,EXPORT,2012,678.50
POL,EXPORT,2013,936.70
POL,EXPORT,2014,1006.40
POL,EXPORT,2015,865.40
CZE,IMPORT,2010,707.80
CZE,IMPORT,2011,611.60
CZE,IMPORT,2012,839.40
CZE,IMPORT,2013,1412.80
CZE,IMPORT,2014,2063.10
CZE,IMPORT,2015,2464.90
CZE,EXPORT,2010,125.00
CZE,EXPORT,2011,98.30
CZE,EXPORT,2012,45.70
CZE,EXPORT,2013,188.10
CZE,EXPORT,2014,473.70
CZE,EXPORT,2015,486.10
SVK,IMPORT,2010,341.40
SVK,IMPORT,2011,438.90
SVK,IMPORT,2012,548.40
SVK,IMPORT,2013,565.00
SVK,IMPORT,2014,942.00
SVK,IMPORT,2015,941.50
SVK,EXPORT,2010,0.20
SVK,EXPORT,2011,0.00
SVK,EXPORT,2012,0.00
SVK,EXPORT,2013,0.90
SVK,EXPORT,2014,4.20
SVK,EXPORT,2015,3.00
HUN,IMPORT,2010,419.50
HUN,IMPORT,2011,434.40
HUN,IMPORT,2012,741.20
HUN,IMPORT,2013,847.80
HUN,IMPORT,2014,1966.80
HUN,IMPORT,2015,1762.90
HUN,EXPORT,2010,0.00
HUN,EXPORT,2011,46.10
HUN,EXPORT,2012,91.30
HUN,EXPORT,2013,44.90
HUN,EXPORT,2014,228.90
HUN,EXPORT,2015,194.00
SVN,IMPORT,2010,2491.40
SVN,IMPORT,2011,2398.20
SVN,IMPORT,2012,1562.50
SVN,IMPORT,2013,1662.00
SVN,IMPORT,2014,1798.40
SVN,IMPORT,2015,2479.70
SVN,EXPORT,2010,2242.30
SVN,EXPORT,2011,2243.10
SVN,EXPORT,2012,985.40
SVN,EXPORT,2013,628.40
SVN,EXPORT,2014,1247.10
SVN,EXPORT,2015,1953.10
