CODE,DECLARANT,FLOW,PERIOD,QUANTITY_TON
CZE,Czech Republic,EXPORT,Nov. 2015,48.5
CZE,Czech Republic,EXPORT,Dec. 2015,64
CZE,Czech Republic,EXPORT,TOTAL,486.1
SVK,Slovakia,IMPORT,Jan. 2015,94.2
SVK,Slovakia,IMPORT,Feb. 2015,65.1
SVK,Slovakia,IMPORT,Mar. 2015,80.5
SVK,Slovakia,IMPORT,Apr. 2015,66.2
SVK,Slovakia,IMPORT,May. 2015,52.9
SVK,Slovakia,IMPORT,Jun. 2015,49.1
SVK,Slovakia,IMPORT,Jul. 2015,36.7
SVK,Slovakia,IMPORT,Aug. 2015,39.2
SVK,Slovakia,IMPORT,Sep. 2015,47.2
SVK,Slovakia,IMPORT,Oct. 2015,73.1
SVK,Slovakia,IMPORT,Nov. 2015,151.8
SVK,Slovakia,IMPORT,Dec. 2015,185.5
SVK,Slovakia,IMPORT,TOTAL,941.5
SVK,Slovakia,EXPORT,Jan. 2015,0.2
SVK,Slovakia,EXPORT,Feb. 2015,0.3
SVK,Slovakia,EXPORT,Mar. 2015,0.3
SVK,Slovakia,EXPORT,Apr. 2015,0.3
SVK,Slovakia,EXPORT,May. 2015,0.3
SVK,Slovakia,EXPORT,Jun. 2015,0.2
SVK,Slovakia,EXPORT,Jul. 2015,0.2
SVK,Slovakia,EXPORT,Aug. 2015,0.2
SVK,Slovakia,EXPORT,Sep. 2015,0.2
SVK,Slovakia,EXPORT,Oct. 2015,0.2
SVK,Slovakia,EXPORT,Nov. 2015,0.2
SVK,Slovakia,EXPORT,Dec. 2015,0.4
SVK,Slovakia,EXPORT,TOTAL,3
HUN,Hungary,IMPORT,Jan. 2015,188.5
HUN,Hungary,IMPORT,Feb. 2015,195.4
HUN,Hungary,IMPORT,Mar. 2015,265.1
HUN,Hungary,IMPORT,Apr. 2015,130.3
HUN,Hungary,IMPORT,May. 2015,162.8
HUN,Hungary,IMPORT,Jun. 2015,141.1
HUN,Hungary,IMPORT,Jul. 2015,83
HUN,Hungary,IMPORT,Aug. 2015,65.4
HUN,Hungary,IMPORT,Sep. 2015,88.3
HUN,Hungary,IMPORT,Oct. 2015,169.4
HUN,Hungary,IMPORT,Nov. 2015,178.8
HUN,Hungary,IMPORT,Dec. 2015,94.8
HUN,Hungary,IMPORT,TOTAL,1762.9
HUN,Hungary,EXPORT,Jan. 2015,19.6
HUN,Hungary,EXPORT,Feb. 2015,18.6
HUN,Hungary,EXPORT,Mar. 2015,12.7
HUN,Hungary,EXPORT,Apr. 2015,5.7
HUN,Hungary,EXPORT,May. 2015,14
HUN,Hungary,EXPORT,Jun. 2015,9
HUN,Hungary,EXPORT,Jul. 2015,19.1
HUN,Hungary,EXPORT,Aug. 2015,11.6
HUN,Hungary,EXPORT,Sep. 2015,13.2
HUN,Hungary,EXPORT,Oct. 2015,14.1
HUN,Hungary,EXPORT,Nov. 2015,44.2
HUN,Hungary,EXPORT,Dec. 2015,12.2
HUN,Hungary,EXPORT,TOTAL,194
ROU,Romania,IMPORT,Jan. 2015,306.8
ROU,Romania,IMPORT,Feb. 2015,275.9
ROU,Romania,IMPORT,Mar. 2015,295.6
ROU,Romania,IMPORT,Apr. 2015,209.4
ROU,Romania,IMPORT,May. 2015,226.6
ROU,Romania,IMPORT,Jun. 2015,227.5
ROU,Romania,IMPORT,Jul. 2015,128.4
ROU,Romania,IMPORT,Aug. 2015,161.1
ROU,Romania,IMPORT,Sep. 2015,128.2
ROU,Romania,IMPORT,Oct. 2015,250.4
ROU,Romania,IMPORT,Nov. 2015,401
ROU,Romania,IMPORT,Dec. 2015,401.6
ROU,Romania,IMPORT,TOTAL,3012.5
ROU,Romania,EXPORT,Jan. 2015,2.9
ROU,Romania,EXPORT,Feb. 2015,2.3
ROU,Romania,EXPORT,Mar. 2015,2.8
ROU,Romania,EXPORT,Apr. 2015,4.4
ROU,Romania,EXPORT,May. 2015,3.3
ROU,Romania,EXPORT,Jun. 2015,0
ROU,Romania,EXPORT,Jul. 2015,0
ROU,Romania,EXPORT,Aug. 2015,0
ROU,Romania,EXPORT,Sep. 2015,0.1
ROU,Romania,EXPORT,Oct. 2015,0
ROU,Romania,EXPORT,Nov. 2015,0.1
ROU,Romania,EXPORT,Dec. 2015,1
ROU,Romania,EXPORT,TOTAL,16.9
BGR,Bulgaria,IMPORT,Jan. 2015,104.2
BGR,Bulgaria,IMPORT,Feb. 2015,79.2
BGR,Bulgaria,IMPORT,Mar. 2015,88.8
BGR,Bulgaria,IMPORT,Apr. 2015,64.1
BGR,Bulgaria,IMPORT,May. 2015,66.3
BGR,Bulgaria,IMPORT,Jun. 2015,64.9
BGR,Bulgaria,IMPORT,Jul. 2015,55.9
BGR,Bulgaria,IMPORT,Aug. 2015,57.1
BGR,Bulgaria,IMPORT,Sep. 2015,35
BGR,Bulgaria,IMPORT,Oct. 2015,64.4
BGR,Bulgaria,IMPORT,Nov. 2015,88.5
BGR,Bulgaria,IMPORT,Dec. 2015,82.6
BGR,Bulgaria,IMPORT,TOTAL,851
BGR,Bulgaria,EXPORT,Jan. 2015,0.4
BGR,Bulgaria,EXPORT,Feb. 2015,1.1
BGR,Bulgaria,EXPORT,Mar. 2015,8.5
BGR,Bulgaria,EXPORT,Apr. 2015,2.8
BGR,Bulgaria,EXPORT,May. 2015,1.4
BGR,Bulgaria,EXPORT,Jun. 2015,1.5
BGR,Bulgaria,EXPORT,Jul. 2015,0.5
BGR,Bulgaria,EXPORT,Aug. 2015,4.5
BGR,Bulgaria,EXPORT,Sep. 2015,0.6
BGR,Bulgaria,EXPORT,Oct. 2015,0.6
BGR,Bulgaria,EXPORT,Nov. 2015,1.6
BGR,Bulgaria,EXPORT,Dec. 2015,2.4
BGR,Bulgaria,EXPORT,TOTAL,25.9
SVN,Slovenia,IMPORT,Jan. 2015,270.5
SVN,Slovenia,IMPORT,Feb. 2015,252.9
SVN,Slovenia,IMPORT,Mar. 2015,244.5
SVN,Slovenia,IMPORT,Apr. 2015,96.9
SVN,Slovenia,IMPORT,May. 2015,63.1
SVN,Slovenia,IMPORT,Jun. 2015,71.3
SVN,Slovenia,IMPORT,Jul. 2015,43.5
SVN,Slovenia,IMPORT,Aug. 2015,38.5
SVN,Slovenia,IMPORT,Sep. 2015,61.6
SVN,Slovenia,IMPORT,Oct. 2015,291.8
SVN,Slovenia,IMPORT,Nov. 2015,411.7
SVN,Slovenia,IMPORT,Dec. 2015,633.4
SVN,Slovenia,IMPORT,TOTAL,2479.7
SVN,Slovenia,EXPORT,Jan. 2015,222
SVN,Slovenia,EXPORT,Feb. 2015,204.2
SVN,Slovenia,EXPORT,Mar. 2015,204.6
SVN,Slovenia,EXPORT,Apr. 2015,37.5
SVN,Slovenia,EXPORT,May. 2015,13.1
SVN,Slovenia,EXPORT,Jun. 2015,16.7
SVN,Slovenia,EXPORT,Jul. 2015,14.3
SVN,Slovenia,EXPORT,Aug. 2015,12.5
SVN,Slovenia,EXPORT,Sep. 2015,24.9
SVN,Slovenia,EXPORT,Oct. 2015,230.4
SVN,Slovenia,EXPORT,Nov. 2015,388.3
SVN,Slovenia,EXPORT,Dec. 2015,584.6
SVN,Slovenia,EXPORT,TOTAL,1953.1
HRV,Croatia,IMPORT,Jan. 2015,40.2
HRV,Croatia,IMPORT,Feb. 2015,35.6
HRV,Croatia,IMPORT,Mar. 2015,43.2
HRV,Croatia,IMPORT,Apr. 2015,35.2
HRV,Croatia,IMPORT,May. 2015,27.8
HRV,Croatia,IMPORT,Jun. 2015,28.8
HRV,Croatia,IMPORT,Jul. 2015,45.5
HRV,Croatia,IMPORT,Aug. 2015,41.4
HRV,Croatia,IMPORT,Sep. 2015,29.5
HRV,Croatia,IMPORT,Oct. 2015,22.6
HRV,Croatia,IMPORT,Nov. 2015,37.6
HRV,Croatia,IMPORT,Dec. 2015,31.5
HRV,Croatia,IMPORT,TOTAL,418.9
HRV,Croatia,EXPORT,Jan. 2015,0.3
HRV,Croatia,EXPORT,Feb. 2015,0.1
HRV,Croatia,EXPORT,Mar. 2015,0
HRV,Croatia,EXPORT,Apr. 2015,0.1
HRV,Croatia,EXPORT,May. 2015,0
HRV,Croatia,EXPORT,Jun. 2015,0.1
HRV,Croatia,EXPORT,Jul. 2015,0
HRV,Croatia,EXPORT,Aug. 2015,0
HRV,Croatia,EXPORT,Sep. 2015,0
HRV,Croatia,EXPORT,Oct. 2015,0.1
HRV,Croatia,EXPORT,Nov. 2015,0.4
HRV,Croatia,EXPORT,Dec. 2015,0.2
HRV,Croatia,EXPORT,TOTAL,1.3
CYP,Cyprus,IMPORT,Jan. 2015,6.5
CYP,Cyprus,IMPORT,Feb. 2015,5.3
CYP,Cyprus,IMPORT,Mar. 2015,10.3
CYP,Cyprus,IMPORT,Apr. 2015,12
CYP,Cyprus,IMPORT,May. 2015,26.4
CYP,Cyprus,IMPORT,Jun. 2015,49.4
CYP,Cyprus,IMPORT,Jul. 2015,61.3
CYP,Cyprus,IMPORT,Aug. 2015,72.5
CYP,Cyprus,IMPORT,Sep. 2015,50.4
CYP,Cyprus,IMPORT,Oct. 2015,5.8
CYP,Cyprus,IMPORT,Nov. 2015,9.6
CYP,Cyprus,IMPORT,Dec. 2015,7.9
CYP,Cyprus,IMPORT,TOTAL,317.4
CYP,Cyprus,EXPORT,Jan. 2015,0
CYP,Cyprus,EXPORT,Feb. 2015,0
CYP,Cyprus,EXPORT,Mar. 2015,0
CYP,Cyprus,EXPORT,Apr. 2015,0
CYP,Cyprus,EXPORT,May. 2015,0
CYP,Cyprus,EXPORT,Jun. 2015,0
CYP,Cyprus,EXPORT,Jul. 2015,0
CYP,Cyprus,EXPORT,Aug. 2015,0
CYP,Cyprus,EXPORT,Sep. 2015,0
CYP,Cyprus,EXPORT,Oct. 2015,0
CYP,Cyprus,EXPORT,Nov. 2015,0
CYP,Cyprus,EXPORT,Dec. 2015,0
CYP,Cyprus,EXPORT,TOTAL,0
