CODE,DECLARANT,YEAR,MONTH,PERIOD,IMPORT_QUANTITY_TON,EXPORT_QUANTITY_TON,CONSUMPTION_TON,CONSUMPTION_G,CONSUMPTION_AVO,POPULATION_SIZE,CONSUMPTION_AVO_PP
FRA,001 France,2014,Feb,201402 Feb. 2014,10772.00,2333.20,8438.80,8438800000.00,46882222.22,65942267,0.7110
FRA,001 France,2014,Mrt,201403 Mar. 2014,10275.80,2253.20,8022.60,8022600000.00,44570000.00,65942267,0.6759
FRA,001 France,2014,Apr,201404 Apr. 2014,9729.10,1341.10,8388.00,8388000000.00,46600000.00,65942267,0.7067
FRA,001 France,2014,Mei,201405 May. 2014,8907.00,1440.20,7466.80,7466800000.00,41482222.22,65942267,0.6291
FRA,001 France,2014,Jun,201406 Jun. 2014,9693.00,1269.00,8424.00,8424000000.00,46800000.00,65942267,0.7097
FRA,001 France,2014,Jul,201407 Jul. 2014,9588.10,1318.10,8270.00,8270000000.00,45944444.44,65942267,0.6967
FRA,001 France,2014,Aug,201408 Aug. 2014,8869.90,1198.90,7671.00,7671000000.00,42616666.67,65942267,0.6463
FRA,001 France,2014,Sep,201409 Sep. 2014,9970.20,1676.20,8294.00,8294000000.00,46077777.78,65942267,0.6988
FRA,001 France,2014,Okt,201410 Oct. 2014,9799.00,957.50,8841.50,8841500000.00,49119444.44,65942267,0.7449
FRA,001 France,2014,Nov,201411 Nov. 2014,10096.10,1010.70,9085.40,9085400000.00,50474444.44,65942267,0.7654
FRA,001 France,2014,Dec,201412 Dec. 2014,13108.90,2123.50,10985.40,10985400000.00,61030000.00,65942267,0.9255
FRA,001 France,2015,Jan,201501 Jan. 2015,9239.60,1954.00,7285.60,7285600000.00,40475555.56,66456279,0.6091
FRA,001 France,2015,Feb,201502 Feb. 2015,8518.70,2251.00,6267.70,6267700000.00,34820555.56,66456279,0.5240
FRA,001 France,2015,Mrt,201503 Mar. 2015,10622.80,2323.50,8299.30,8299300000.00,46107222.22,66456279,0.6938
FRA,001 France,2015,Apr,201504 Apr. 2015,9505.80,1864.10,7641.70,7641700000.00,42453888.89,66456279,0.6388
FRA,001 France,2015,Mei,201505 May. 2015,9729.30,1191.00,8538.30,8538300000.00,47435000.00,66456279,0.7138
FRA,001 France,2015,Jun,201506 Jun. 2015,10342.00,1416.00,8926.00,8926000000.00,49588888.89,66456279,0.7462
FRA,001 France,2015,Jul,201507 Jul. 2015,8972.80,1159.50,7813.30,7813300000.00,43407222.22,66456279,0.6532
FRA,001 France,2015,Aug,201508 Aug. 2015,9866.30,1131.70,8734.60,8734600000.00,48525555.56,66456279,0.7302
FRA,001 France,2015,Sep,201509 Sep. 2015,9580.40,1511.10,8069.30,8069300000.00,44829444.44,66456279,0.6746
FRA,001 France,2015,Okt,201510 Oct. 2015,8975.10,1447.60,7527.50,7527500000.00,41819444.44,66456279,0.6293
FRA,001 France,2015,Nov,201511 Nov. 2015,9741.70,1298.70,8443.00,8443000000.00,46905555.56,66456279,0.7058
FRA,001 France,2015,Dec,201512 Dec. 2015,11302.90,1926.30,9376.60,9376600000.00,52092222.22,66456279,0.7839
NLD,003 Netherlands,2010,Jan,201001 Jan. 2010,8769.90,7276.00,1493.90,1493900000.00,8299444.44,16574989,0.5007
NLD,003 Netherlands,2010,Feb,201002 Feb. 2010,6515.90,4410.10,2105.80,2105800000.00,11698888.89,16574989,0.7058
NLD,003 Netherlands,2010,Mrt,201003 Mar. 2010,6685.80,6356.70,329.10,329100000.00,1828333.33,16574989,0.1103
NLD,003 Netherlands,2010,Apr,201004 Apr. 2010,8433.80,5208.30,3225.50,3225500000.00,17919444.44,16574989,1.0811
NLD,003 Netherlands,2010,Mei,201005 May. 2010,12374.30,7731.10,4643.20,4643200000.00,25795555.56,16574989,1.5563
NLD,003 Netherlands,2010,Jun,201006 Jun. 2010,10068.00,6988.10,3079.90,3079900000.00,17110555.56,16574989,1.0323
NLD,003 Netherlands,2010,Jul,201007 Jul. 2010,10559.50,6532.50,4027.00,4027000000.00,22372222.22,16574989,1.3498
NLD,003 Netherlands,2010,Aug,201008 Aug. 2010,10881.60,5651.60,5230.00,5230000000.00,29055555.56,16574989,1.7530
NLD,003 Netherlands,2010,Sep,201009 Sep. 2010,8621.70,5852.00,2769.70,2769700000.00,15387222.22,16574989,0.9283
NLD,003 Netherlands,2010,Okt,201010 Oct. 2010,6560.40,7152.20,-591.80,-591800000.00,-3287777.78,16574989,-0.1984
NLD,003 Netherlands,2010,Nov,201011 Nov. 2010,7884.00,5355.60,2528.40,2528400000.00,14046666.67,16574989,0.8475
NLD,003 Netherlands,2010,Dec,201012 Dec. 2010,8624.00,7516.10,1107.90,1107900000.00,6155000.00,16574989,0.3713
NLD,003 Netherlands,2011,Jan,201101 Jan. 2011,5378.60,8491.50,-3112.90,-3112900000.00,-17293888.89,16655799,-1.0383
NLD,003 Netherlands,2011,Feb,201102 Feb. 2011,6657.40,6736.70,-79.30,-79300000.00,-440555.56,16655799,-0.0265
NLD,003 Netherlands,2011,Mrt,201103 Mar. 2011,7428.70,7412.10,16.60,16600000.00,92222.22,16655799,0.0055
NLD,003 Netherlands,2011,Apr,201104 Apr. 2011,8397.00,5654.40,2742.60,2742600000.00,15236666.67,16655799,0.9148
NLD,003 Netherlands,2011,Mei,201105 May. 2011,13036.10,7835.30,5200.80,5200800000.00,28893333.33,16655799,1.7347
NLD,003 Netherlands,2011,Jun,201106 Jun. 2011,13560.90,7500.20,6060.70,6060700000.00,33670555.56,16655799,2.0216
NLD,003 Netherlands,2011,Jul,201107 Jul. 2011,8743.30,6973.40,1769.90,1769900000.00,9832777.78,16655799,0.5904
NLD,003 Netherlands,2011,Aug,201108 Aug. 2011,8951.40,9658.60,-707.20,-707200000.00,-3928888.89,16655799,-0.2359
NLD,003 Netherlands,2011,Sep,201109 Sep. 2011,7422.10,6319.00,1103.10,1103100000.00,6128333.33,16655799,0.3679
NLD,003 Netherlands,2011,Okt,201110 Oct. 2011,7081.30,6062.30,1019.00,1019000000.00,5661111.11,16655799,0.3399
NLD,003 Netherlands,2011,Nov,201111 Nov. 2011,9477.70,4929.20,4548.50,4548500000.00,25269444.44,16655799,1.5172
NLD,003 Netherlands,2011,Dec,201112 Dec. 2011,8801.80,5407.50,3394.30,3394300000.00,18857222.22,16655799,1.1322
NLD,003 Netherlands,2012,Jan,201201 Jan. 2012,7311.20,6243.80,1067.40,1067400000.00,5930000.00,16730348,0.3544
NLD,003 Netherlands,2012,Feb,201202 Feb. 2012,6081.90,5549.80,532.10,532100000.00,2956111.11,16730348,0.1767
NLD,003 Netherlands,2012,Mrt,201203 Mar. 2012,7969.10,6140.30,1828.80,1828800000.00,10160000.00,16730348,0.6073
NLD,003 Netherlands,2012,Apr,201204 Apr. 2012,11331.70,5975.70,5356.00,5356000000.00,29755555.56,16730348,1.7785
NLD,003 Netherlands,2012,Mei,201205 May. 2012,15080.30,12399.10,2681.20,2681200000.00,14895555.56,16730348,0.8903
NLD,003 Netherlands,2012,Jun,201206 Jun. 2012,9095.00,8056.30,1038.70,1038700000.00,5770555.56,16730348,0.3449
NLD,003 Netherlands,2012,Jul,201207 Jul. 2012,12035.30,7737.90,4297.40,4297400000.00,23874444.44,16730348,1.4270
NLD,003 Netherlands,2012,Aug,201208 Aug. 2012,12350.30,10304.60,2045.70,2045700000.00,11365000.00,16730348,0.6793
NLD,003 Netherlands,2012,Sep,201209 Sep. 2012,11381.90,8991.20,2390.70,2390700000.00,13281666.67,16730348,0.7939
NLD,003 Netherlands,2012,Okt,201210 Oct. 2012,9712.90,14310.20,-4597.30,-4597300000.00,-25540555.56,16730348,-1.5266
NLD,003 Netherlands,2012,Nov,201211 Nov. 2012,9588.90,7234.00,2354.90,2354900000.00,13082777.78,16730348,0.7820
NLD,003 Netherlands,2012,Dec,201212 Dec. 2012,8383.50,12112.20,-3728.70,-3728700000.00,-20715000.00,16730348,-1.2382
NLD,003 Netherlands,2013,Jan,201301 Jan. 2013,7702.00,6068.20,1633.80,1633800000.00,9076666.67,16779575,0.5409
NLD,003 Netherlands,2013,Feb,201302 Feb. 2013,7400.00,11373.40,-3973.40,-3973400000.00,-22074444.44,16779575,-1.3156
NLD,003 Netherlands,2013,Mrt,201303 Mar. 2013,8824.00,8016.80,807.20,807200000.00,4484444.44,16779575,0.2673
NLD,003 Netherlands,2013,Apr,201304 Apr. 2013,10721.00,8067.30,2653.70,2653700000.00,14742777.78,16779575,0.8786
NLD,003 Netherlands,2013,Mei,201305 May. 2013,21184.30,14023.40,7160.90,7160900000.00,39782777.78,16779575,2.3709
NLD,003 Netherlands,2013,Jun,201306 Jun. 2013,15252.10,11424.30,3827.80,3827800000.00,21265555.56,16779575,1.2673
NLD,003 Netherlands,2013,Jul,201307 Jul. 2013,13906.40,12532.40,1374.00,1374000000.00,7633333.33,16779575,0.4549
NLD,003 Netherlands,2013,Aug,201308 Aug. 2013,14574.10,12900.90,1673.20,1673200000.00,9295555.56,16779575,0.5540
NLD,003 Netherlands,2013,Sep,201309 Sep. 2013,13007.00,8936.30,4070.70,4070700000.00,22615000.00,16779575,1.3478
NLD,003 Netherlands,2013,Okt,201310 Oct. 2013,10523.40,8526.50,1996.90,1996900000.00,11093888.89,16779575,0.6612
NLD,003 Netherlands,2013,Nov,201311 Nov. 2013,9974.00,8204.00,1770.00,1770000000.00,9833333.33,16779575,0.5860
NLD,003 Netherlands,2013,Dec,201312 Dec. 2013,10535.70,9985.40,550.30,550300000.00,3057222.22,16779575,0.1822
NLD,003 Netherlands,2014,Jan,201401 Jan. 2014,10660.10,10864.20,-204.10,-204100000.00,-1133888.89,16829289,-0.0674
