CODE,DECLARANT,FLOW,YEAR,MONTH,PERIOD,QUANTITY_TON
FRA,001 France,EXPORT,2011,Mrt,201103 Mar. 2011,766.5
FRA,001 France,EXPORT,2011,Apr,201104 Apr. 2011,1169.3
FRA,001 France,EXPORT,2011,Mei,201105 May. 2011,1551.7
FRA,001 France,EXPORT,2011,Jun,201106 Jun. 2011,1278.7
FRA,001 France,EXPORT,2011,Jul,201107 Jul. 2011,1368.3
FRA,001 France,EXPORT,2011,Aug,201108 Aug. 2011,1188.8
FRA,001 France,EXPORT,2011,Sep,201109 Sep. 2011,1136.2
FRA,001 France,EXPORT,2011,Okt,201110 Oct. 2011,941.4
FRA,001 France,EXPORT,2011,Nov,201111 Nov. 2011,500.7
FRA,001 France,EXPORT,2011,Dec,201112 Dec. 2011,776.1
FRA,001 France,EXPORT,2012,Jan,201201 Jan. 2012,640.3
FRA,001 France,EXPORT,2012,Feb,201202 Feb. 2012,3438.1
FRA,001 France,EXPORT,2012,Mrt,201203 Mar. 2012,1163.4
FRA,001 France,EXPORT,2012,Apr,201204 Apr. 2012,1370.7
FRA,001 France,EXPORT,2012,Mei,201205 May. 2012,2019.5
FRA,001 France,EXPORT,2012,Jun,201206 Jun. 2012,1274.2
FRA,001 France,EXPORT,2012,Jul,201207 Jul. 2012,1463.9
FRA,001 France,EXPORT,2012,Aug,201208 Aug. 2012,1559.4
FRA,001 France,EXPORT,2012,Sep,201209 Sep. 2012,1981.1
FRA,001 France,EXPORT,2012,Okt,201210 Oct. 2012,1428.1
FRA,001 France,EXPORT,2012,Nov,201211 Nov. 2012,828
FRA,001 France,EXPORT,2012,Dec,201212 Dec. 2012,905.6
FRA,001 France,EXPORT,2013,Jan,201301 Jan. 2013,1047.1
FRA,001 France,EXPORT,2013,Feb,201302 Feb. 2013,1458.7
FRA,001 France,EXPORT,2013,Mrt,201303 Mar. 2013,1700.8
FRA,001 France,EXPORT,2013,Apr,201304 Apr. 2013,1396
FRA,001 France,EXPORT,2013,Mei,201305 May. 2013,1427.8
FRA,001 France,EXPORT,2013,Jun,201306 Jun. 2013,1310.5
FRA,001 France,EXPORT,2013,Jul,201307 Jul. 2013,1011.6
FRA,001 France,EXPORT,2013,Aug,201308 Aug. 2013,894.2
FRA,001 France,EXPORT,2013,Sep,201309 Sep. 2013,941.3
FRA,001 France,EXPORT,2013,Okt,201310 Oct. 2013,1203.9
FRA,001 France,EXPORT,2013,Nov,201311 Nov. 2013,993.2
FRA,001 France,EXPORT,2013,Dec,201312 Dec. 2013,1266.3
FRA,001 France,EXPORT,2014,Jan,201401 Jan. 2014,1738.6
FRA,001 France,EXPORT,2014,Feb,201402 Feb. 2014,2333.2
FRA,001 France,EXPORT,2014,Mrt,201403 Mar. 2014,2253.2
FRA,001 France,EXPORT,2014,Apr,201404 Apr. 2014,1341.1
FRA,001 France,EXPORT,2014,Mei,201405 May. 2014,1440.2
FRA,001 France,EXPORT,2014,Jun,201406 Jun. 2014,1269
FRA,001 France,EXPORT,2014,Jul,201407 Jul. 2014,1318.1
FRA,001 France,EXPORT,2014,Aug,201408 Aug. 2014,1198.9
FRA,001 France,EXPORT,2014,Sep,201409 Sep. 2014,1676.2
FRA,001 France,EXPORT,2014,Okt,201410 Oct. 2014,957.5
FRA,001 France,EXPORT,2014,Nov,201411 Nov. 2014,1010.7
FRA,001 France,EXPORT,2014,Dec,201412 Dec. 2014,2123.5
FRA,001 France,EXPORT,2015,Jan,201501 Jan. 2015,1954
FRA,001 France,EXPORT,2015,Feb,201502 Feb. 2015,2251
FRA,001 France,EXPORT,2015,Mrt,201503 Mar. 2015,2323.5
FRA,001 France,EXPORT,2015,Apr,201504 Apr. 2015,1864.1
FRA,001 France,EXPORT,2015,Mei,201505 May. 2015,1191
FRA,001 France,EXPORT,2015,Jun,201506 Jun. 2015,1416
FRA,001 France,EXPORT,2015,Jul,201507 Jul. 2015,1159.5
FRA,001 France,EXPORT,2015,Aug,201508 Aug. 2015,1131.7
FRA,001 France,EXPORT,2015,Sep,201509 Sep. 2015,1511.1
FRA,001 France,EXPORT,2015,Okt,201510 Oct. 2015,1447.6
FRA,001 France,EXPORT,2015,Nov,201511 Nov. 2015,1298.7
FRA,001 France,EXPORT,2015,Dec,201512 Dec. 2015,1926.3
NLD,003 Netherlands,IMPORT,2010,Jan,201001 Jan. 2010,8769.9
NLD,003 Netherlands,IMPORT,2010,Feb,201002 Feb. 2010,6515.9
NLD,003 Netherlands,IMPORT,2010,Mrt,201003 Mar. 2010,6685.8
NLD,003 Netherlands,IMPORT,2010,Apr,201004 Apr. 2010,8433.8
NLD,003 Netherlands,IMPORT,2010,Mei,201005 May. 2010,12374.3
NLD,003 Netherlands,IMPORT,2010,Jun,201006 Jun. 2010,10068
NLD,003 Netherlands,IMPORT,2010,Jul,201007 Jul. 2010,10559.5
NLD,003 Netherlands,IMPORT,2010,Aug,201008 Aug. 2010,10881.6
NLD,003 Netherlands,IMPORT,2010,Sep,201009 Sep. 2010,8621.7
NLD,003 Netherlands,IMPORT,2010,Okt,201010 Oct. 2010,6560.4
NLD,003 Netherlands,IMPORT,2010,Nov,201011 Nov. 2010,7884
NLD,003 Netherlands,IMPORT,2010,Dec,201012 Dec. 2010,8624
NLD,003 Netherlands,IMPORT,2011,Jan,201101 Jan. 2011,5378.6
NLD,003 Netherlands,IMPORT,2011,Feb,201102 Feb. 2011,6657.4
NLD,003 Netherlands,IMPORT,2011,Mrt,201103 Mar. 2011,7428.7
NLD,003 Netherlands,IMPORT,2011,Apr,201104 Apr. 2011,8397
NLD,003 Netherlands,IMPORT,2011,Mei,201105 May. 2011,13036.1
NLD,003 Netherlands,IMPORT,2011,Jun,201106 Jun. 2011,13560.9
NLD,003 Netherlands,IMPORT,2011,Jul,201107 Jul. 2011,8743.3
NLD,003 Netherlands,IMPORT,2011,Aug,201108 Aug. 2011,8951.4
NLD,003 Netherlands,IMPORT,2011,Sep,201109 Sep. 2011,7422.1
NLD,003 Netherlands,IMPORT,2011,Okt,201110 Oct. 2011,7081.3
NLD,003 Netherlands,IMPORT,2011,Nov,201111 Nov. 2011,9477.7
NLD,003 Netherlands,IMPORT,2011,Dec,201112 Dec. 2011,8801.8
NLD,003 Netherlands,IMPORT,2012,Jan,201201 Jan. 2012,7311.2
NLD,003 Netherlands,IMPORT,2012,Feb,201202 Feb. 2012,6081.9
NLD,003 Netherlands,IMPORT,2012,Mrt,201203 Mar. 2012,7969.1
NLD,003 Netherlands,IMPORT,2012,Apr,201204 Apr. 2012,11331.7
NLD,003 Netherlands,IMPORT,2012,Mei,201205 May. 2012,15080.3
NLD,003 Netherlands,IMPORT,2012,Jun,201206 Jun. 2012,9095
NLD,003 Netherlands,IMPORT,2012,Jul,201207 Jul. 2012,12035.3
NLD,003 Netherlands,IMPORT,2012,Aug,201208 Aug. 2012,12350.3
NLD,003 Netherlands,IMPORT,2012,Sep,201209 Sep. 2012,11381.9
NLD,003 Netherlands,IMPORT,2012,Okt,201210 Oct. 2012,9712.9
NLD,003 Netherlands,IMPORT,2012,Nov,201211 Nov. 2012,9588.9
NLD,003 Netherlands,IMPORT,2012,Dec,201212 Dec. 2012,8383.5
NLD,003 Netherlands,IMPORT,2013,Jan,201301 Jan. 2013,7702
NLD,003 Netherlands,IMPORT,2013,Feb,201302 Feb. 2013,7400
NLD,003 Netherlands,IMPORT,2013,Mrt,201303 Mar. 2013,8824
NLD,003 Netherlands,IMPORT,2013,Apr,201304 Apr. 2013,10721
NLD,003 Netherlands,IMPORT,2013,Mei,201305 May. 2013,21184.3
NLD,003 Netherlands,IMPORT,2013,Jun,201306 Jun. 2013,15252.1
NLD,003 Netherlands,IMPORT,2013,Jul,201307 Jul. 2013,13906.4
NLD,003 Netherlands,IMPORT,2013,Aug,201308 Aug. 2013,14574.1
NLD,003 Netherlands,IMPORT,2013,Sep,201309 Sep. 2013,13007
NLD,003 Netherlands,IMPORT,2013,Okt,201310 Oct. 2013,10523.4
NLD,003 Netherlands,IMPORT,2013,Nov,201311 Nov. 2013,9974
NLD,003 Netherlands,IMPORT,2013,Dec,201312 Dec. 2013,10535.7
NLD,003 Netherlands,IMPORT,2014,Jan,201401 Jan. 2014,10660.1
NLD,003 Netherlands,IMPORT,2014,Feb,201402 Feb. 2014,10382.1
NLD,003 Netherlands,IMPORT,2014,Mrt,201403 Mar. 2014,10846.9
NLD,003 Netherlands,IMPORT,2014,Apr,201404 Apr. 2014,14750.2
NLD,003 Netherlands,IMPORT,2014,Mei,201405 May. 2014,20217.4
NLD,003 Netherlands,IMPORT,2014,Jun,201406 Jun. 2014,18417.6
NLD,003 Netherlands,IMPORT,2014,Jul,201407 Jul. 2014,15697.3
NLD,003 Netherlands,IMPORT,2014,Aug,201408 Aug. 2014,17260.6
NLD,003 Netherlands,IMPORT,2014,Sep,201409 Sep. 2014,13898.7
NLD,003 Netherlands,IMPORT,2014,Okt,201410 Oct. 2014,13582.1
NLD,003 Netherlands,IMPORT,2014,Nov,201411 Nov. 2014,11792.2
NLD,003 Netherlands,IMPORT,2014,Dec,201412 Dec. 2014,11255.7
NLD,003 Netherlands,IMPORT,2015,Jan,201501 Jan. 2015,9076.9
NLD,003 Netherlands,IMPORT,2015,Feb,201502 Feb. 2015,9953
NLD,003 Netherlands,IMPORT,2015,Mrt,201503 Mar. 2015,12124.5
NLD,003 Netherlands,IMPORT,2015,Apr,201504 Apr. 2015,16307.9
NLD,003 Netherlands,IMPORT,2015,Mei,201505 May. 2015,23106.1
NLD,003 Netherlands,IMPORT,2015,Jun,201506 Jun. 2015,19034.5
NLD,003 Netherlands,IMPORT,2015,Jul,201507 Jul. 2015,16054
NLD,003 Netherlands,IMPORT,2015,Aug,201508 Aug. 2015,19288.2
NLD,003 Netherlands,IMPORT,2015,Sep,201509 Sep. 2015,17138.5
NLD,003 Netherlands,IMPORT,2015,Okt,201510 Oct. 2015,15884.5
NLD,003 Netherlands,IMPORT,2015,Nov,201511 Nov. 2015,13713.8
NLD,003 Netherlands,IMPORT,2015,Dec,201512 Dec. 2015,15654
NLD,003 Netherlands,EXPORT,2010,Jan,201001 Jan. 2010,7276
NLD,003 Netherlands,EXPORT,2010,Feb,201002 Feb. 2010,4410.1
NLD,003 Netherlands,EXPORT,2010,Mrt,201003 Mar. 2010,6356.7
NLD,003 Netherlands,EXPORT,2010,Apr,201004 Apr. 2010,5208.3
NLD,003 Netherlands,EXPORT,2010,Mei,201005 May. 2010,7731.1
NLD,003 Netherlands,EXPORT,2010,Jun,201006 Jun. 2010,6988.1
NLD,003 Netherlands,EXPORT,2010,Jul,201007 Jul. 2010,6532.5
NLD,003 Netherlands,EXPORT,2010,Aug,201008 Aug. 2010,5651.6
NLD,003 Netherlands,EXPORT,2010,Sep,201009 Sep. 2010,5852
NLD,003 Netherlands,EXPORT,2010,Okt,201010 Oct. 2010,7152.2
NLD,003 Netherlands,EXPORT,2010,Nov,201011 Nov. 2010,5355.6
NLD,003 Netherlands,EXPORT,2010,Dec,201012 Dec. 2010,7516.1
NLD,003 Netherlands,EXPORT,2011,Jan,201101 Jan. 2011,8491.5
NLD,003 Netherlands,EXPORT,2011,Feb,201102 Feb. 2011,6736.7
NLD,003 Netherlands,EXPORT,2011,Mrt,201103 Mar. 2011,7412.1
NLD,003 Netherlands,EXPORT,2011,Apr,201104 Apr. 2011,5654.4
NLD,003 Netherlands,EXPORT,2011,Mei,201105 May. 2011,7835.3
NLD,003 Netherlands,EXPORT,2011,Jun,201106 Jun. 2011,7500.2
NLD,003 Netherlands,EXPORT,2011,Jul,201107 Jul. 2011,6973.4
NLD,003 Netherlands,EXPORT,2011,Aug,201108 Aug. 2011,9658.6
NLD,003 Netherlands,EXPORT,2011,Sep,201109 Sep. 2011,6319
NLD,003 Netherlands,EXPORT,2011,Okt,201110 Oct. 2011,6062.3
NLD,003 Netherlands,EXPORT,2011,Nov,201111 Nov. 2011,4929.2
NLD,003 Netherlands,EXPORT,2011,Dec,201112 Dec. 2011,5407.5
NLD,003 Netherlands,EXPORT,2012,Jan,201201 Jan. 2012,6243.8
NLD,003 Netherlands,EXPORT,2012,Feb,201202 Feb. 2012,5549.8
NLD,003 Netherlands,EXPORT,2012,Mrt,201203 Mar. 2012,6140.3
NLD,003 Netherlands,EXPORT,2012,Apr,201204 Apr. 2012,5975.7
NLD,003 Netherlands,EXPORT,2012,Mei,201205 May. 2012,12399.1
NLD,003 Netherlands,EXPORT,2012,Jun,201206 Jun. 2012,8056.3
NLD,003 Netherlands,EXPORT,2012,Jul,201207 Jul. 2012,7737.9
NLD,003 Netherlands,EXPORT,2012,Aug,201208 Aug. 2012,10304.6
NLD,003 Netherlands,EXPORT,2012,Sep,201209 Sep. 2012,8991.2
NLD,003 Netherlands,EXPORT,2012,Okt,201210 Oct. 2012,14310.2
NLD,003 Netherlands,EXPORT,2012,Nov,201211 Nov. 2012,7234
NLD,003 Netherlands,EXPORT,2012,Dec,201212 Dec. 2012,12112.2
NLD,003 Netherlands,EXPORT,2013,Jan,201301 Jan. 2013,6068.2
NLD,003 Netherlands,EXPORT,2013,Feb,201302 Feb. 2013,11373.4
NLD,003 Netherlands,EXPORT,2013,Mrt,201303 Mar. 2013,8016.8
NLD,003 Netherlands,EXPORT,2013,Apr,201304 Apr. 2013,8067.3
NLD,003 Netherlands,EXPORT,2013,Mei,201305 May. 2013,14023.4
NLD,003 Netherlands,EXPORT,2013,Jun,201306 Jun. 2013,11424.3
NLD,003 Netherlands,EXPORT,2013,Jul,201307 Jul. 2013,12532.4
NLD,003 Netherlands,EXPORT,2013,Aug,201308 Aug. 2013,12900.9
NLD,003 Netherlands,EXPORT,2013,Sep,201309 Sep. 2013,8936.3
NLD,003 Netherlands,EXPORT,2013,Okt,201310 Oct. 2013,8526.5
NLD,003 Netherlands,EXPORT,2013,Nov,201311 Nov. 2013,8204
NLD,003 Netherlands,EXPORT,2013,Dec,201312 Dec. 2013,9985.4
NLD,003 Netherlands,EXPORT,2014,Jan,201401 Jan. 2014,10864.2
NLD,003 Netherlands,EXPORT,2014,Feb,201402 Feb. 2014,7544.2
NLD,003 Netherlands,EXPORT,2014,Mrt,201403 Mar. 2014,7816.7
NLD,003 Netherlands,EXPORT,2014,Apr,201404 Apr. 2014,12824.8
NLD,003 Netherlands,EXPORT,2014,Mei,201405 May. 2014,17091.4
NLD,003 Netherlands,EXPORT,2014,Jun,201406 Jun. 2014,13011.4
NLD,003 Netherlands,EXPORT,2014,Jul,201407 Jul. 2014,9573.4
NLD,003 Netherlands,EXPORT,2014,Aug,201408 Aug. 2014,9867.9
NLD,003 Netherlands,EXPORT,2014,Sep,201409 Sep. 2014,9732.1
NLD,003 Netherlands,EXPORT,2014,Okt,201410 Oct. 2014,9548.4
NLD,003 Netherlands,EXPORT,2014,Nov,201411 Nov. 2014,12071.5
NLD,003 Netherlands,EXPORT,2014,Dec,201412 Dec. 2014,8315.3
NLD,003 Netherlands,EXPORT,2015,Jan,201501 Jan. 2015,14723.1
NLD,003 Netherlands,EXPORT,2015,Feb,201502 Feb. 2015,8043.2
NLD,003 Netherlands,EXPORT,2015,Mrt,201503 Mar. 2015,10727.2
NLD,003 Netherlands,EXPORT,2015,Apr,201504 Apr. 2015,12481.3
NLD,003 Netherlands,EXPORT,2015,Mei,201505 May. 2015,12007.9
NLD,003 Netherlands,EXPORT,2015,Jun,201506 Jun. 2015,13177.9
NLD,003 Netherlands,EXPORT,2015,Jul,201507 Jul. 2015,14005.3
NLD,003 Netherlands,EXPORT,2015,Aug,201508 Aug. 2015,10901.5
NLD,003 Netherlands,EXPORT,2015,Sep,201509 Sep. 2015,13291.3
NLD,003 Netherlands,EXPORT,2015,Okt,201510 Oct. 2015,13782.3
NLD,003 Netherlands,EXPORT,2015,Nov,201511 Nov. 2015,17659.1
NLD,003 Netherlands,EXPORT,2015,Dec,201512 Dec. 2015,10804.3
DEU,004 Fr Germany,IMPORT,2010,Jan,201001 Jan. 2010,2715.5
DEU,004 Fr Germany,IMPORT,2010,Feb,201002 Feb. 2010,1799.9
DEU,004 Fr Germany,IMPORT,2010,Mrt,201003 Mar. 2010,2360.9
DEU,004 Fr Germany,IMPORT,2010,Apr,201004 Apr. 2010,2317.9
DEU,004 Fr Germany,IMPORT,2010,Mei,201005 May. 2010,2891.1
DEU,004 Fr Germany,IMPORT,2010,Jun,201006 Jun. 2010,1861.3
DEU,004 Fr Germany,IMPORT,2010,Jul,201007 Jul. 2010,1789.7
DEU,004 Fr Germany,IMPORT,2010,Aug,201008 Aug. 2010,2336.7
DEU,004 Fr Germany,IMPORT,2010,Sep,201009 Sep. 2010,1770.8
DEU,004 Fr Germany,IMPORT,2010,Okt,201010 Oct. 2010,2157.5
DEU,004 Fr Germany,IMPORT,2010,Nov,201011 Nov. 2010,2827.8
DEU,004 Fr Germany,IMPORT,2010,Dec,201012 Dec. 2010,3085.4
DEU,004 Fr Germany,IMPORT,2011,Jan,201101 Jan. 2011,3393.1
DEU,004 Fr Germany,IMPORT,2011,Feb,201102 Feb. 2011,2928.9
DEU,004 Fr Germany,IMPORT,2011,Mrt,201103 Mar. 2011,2633.1
DEU,004 Fr Germany,IMPORT,2011,Apr,201104 Apr. 2011,2555
DEU,004 Fr Germany,IMPORT,2011,Mei,201105 May. 2011,2214.7
DEU,004 Fr Germany,IMPORT,2011,Jun,201106 Jun. 2011,2379.8
DEU,004 Fr Germany,IMPORT,2011,Jul,201107 Jul. 2011,2099.6
DEU,004 Fr Germany,IMPORT,2011,Aug,201108 Aug. 2011,2105.1
DEU,004 Fr Germany,IMPORT,2011,Sep,201109 Sep. 2011,2003.6
DEU,004 Fr Germany,IMPORT,2011,Okt,201110 Oct. 2011,2086.4
DEU,004 Fr Germany,IMPORT,2011,Nov,201111 Nov. 2011,2138.7
DEU,004 Fr Germany,IMPORT,2011,Dec,201112 Dec. 2011,2728.2
DEU,004 Fr Germany,IMPORT,2012,Jan,201201 Jan. 2012,2630.5
DEU,004 Fr Germany,IMPORT,2012,Feb,201202 Feb. 2012,2561.8
DEU,004 Fr Germany,IMPORT,2012,Mrt,201203 Mar. 2012,2460.9
DEU,004 Fr Germany,IMPORT,2012,Apr,201204 Apr. 2012,2040.2
DEU,004 Fr Germany,IMPORT,2012,Mei,201205 May. 2012,2737.7
DEU,004 Fr Germany,IMPORT,2012,Jun,201206 Jun. 2012,2131.1
DEU,004 Fr Germany,IMPORT,2012,Jul,201207 Jul. 2012,2210.8
DEU,004 Fr Germany,IMPORT,2012,Aug,201208 Aug. 2012,2391.7
DEU,004 Fr Germany,IMPORT,2012,Sep,201209 Sep. 2012,2036.7
DEU,004 Fr Germany,IMPORT,2012,Okt,201210 Oct. 2012,2333.8
DEU,004 Fr Germany,IMPORT,2012,Nov,201211 Nov. 2012,2377.5
DEU,004 Fr Germany,IMPORT,2012,Dec,201212 Dec. 2012,3085.7
DEU,004 Fr Germany,IMPORT,2013,Jan,201301 Jan. 2013,2678.8
DEU,004 Fr Germany,IMPORT,2013,Feb,201302 Feb. 2013,2673.7
DEU,004 Fr Germany,IMPORT,2013,Mrt,201303 Mar. 2013,2757.7
DEU,004 Fr Germany,IMPORT,2013,Apr,201304 Apr. 2013,2766.5
DEU,004 Fr Germany,IMPORT,2013,Mei,201305 May. 2013,2851.1
DEU,004 Fr Germany,IMPORT,2013,Jun,201306 Jun. 2013,2361.7
DEU,004 Fr Germany,IMPORT,2013,Jul,201307 Jul. 2013,2568.8
DEU,004 Fr Germany,IMPORT,2013,Aug,201308 Aug. 2013,2774.7
DEU,004 Fr Germany,IMPORT,2013,Sep,201309 Sep. 2013,1954.7
DEU,004 Fr Germany,IMPORT,2013,Okt,201310 Oct. 2013,3151.2
DEU,004 Fr Germany,IMPORT,2013,Nov,201311 Nov. 2013,2245.3
DEU,004 Fr Germany,IMPORT,2013,Dec,201312 Dec. 2013,2649.8
DEU,004 Fr Germany,IMPORT,2014,Jan,201401 Jan. 2014,3241.1
DEU,004 Fr Germany,IMPORT,2014,Feb,201402 Feb. 2014,2983.8
DEU,004 Fr Germany,IMPORT,2014,Mrt,201403 Mar. 2014,2923.6
DEU,004 Fr Germany,IMPORT,2014,Apr,201404 Apr. 2014,3453.5
DEU,004 Fr Germany,IMPORT,2014,Mei,201405 May. 2014,2972.8
DEU,004 Fr Germany,IMPORT,2014,Jun,201406 Jun. 2014,3015.8
DEU,004 Fr Germany,IMPORT,2014,Jul,201407 Jul. 2014,2647.4
DEU,004 Fr Germany,IMPORT,2014,Aug,201408 Aug. 2014,3017.4
DEU,004 Fr Germany,IMPORT,2014,Sep,201409 Sep. 2014,2760.1
DEU,004 Fr Germany,IMPORT,2014,Okt,201410 Oct. 2014,3620.3
DEU,004 Fr Germany,IMPORT,2014,Nov,201411 Nov. 2014,3474.1
DEU,004 Fr Germany,IMPORT,2014,Dec,201412 Dec. 2014,3604.1
DEU,004 Fr Germany,IMPORT,2015,Jan,201501 Jan. 2015,3988.2
DEU,004 Fr Germany,IMPORT,2015,Feb,201502 Feb. 2015,3315.2
DEU,004 Fr Germany,IMPORT,2015,Mrt,201503 Mar. 2015,4569.5
DEU,004 Fr Germany,IMPORT,2015,Apr,201504 Apr. 2015,4247.7
DEU,004 Fr Germany,IMPORT,2015,Mei,201505 May. 2015,3805
DEU,004 Fr Germany,IMPORT,2015,Jun,201506 Jun. 2015,4717.9
DEU,004 Fr Germany,IMPORT,2015,Jul,201507 Jul. 2015,4006.3
